"l'individuu" "l'individu"
quinqueni quinquenni
quinquenis quinquennis
quue que
quye que
"raó per la que" "raó per la qual"
"rau en que" "rau en el fet que"
"rau en què" "rau en el fet que"
realemnt realment
realizades realitzades
realizat realitzat
realizats realitzats
reanudacions represes
reanudació represa
reanudaren reprengueren
reanudà reprengué
reapareixer reaparèixer
reasentades reassentades
reasentament reassentament
reasentaments reassentaments
reasentat reassentat
reasentats reassentats
recàmera recambra
recàmeres recambres
recentement recentment
Recentement Recentment
recentemnt recentment
recientement recentment
Recientement Recentment
recientment recentment
Recientment Recentment
recolectat recol·lectat
recolectats recol·lectats
"recolectors" "recol·lectors"
recolleixen recullen
recolzamnt recolzament
recomenable recomanable
recomenables recomanables
reconeixament reconeixement
Reconeixament Reconeixement
reconeixemnt reconeixement
reconeixer reconèixer
reconeiximent reconeixement
Reconeiximent Reconeixement
recorrents recurrents
recòrrer recórrer
recreixer recréixer
recrèixer recréixer
redisenyada redissenyada
redisenyades redissenyades
redisenyat redissenyat
redisenyats redissenyats
"re-edicions" "reedicions"
"re-edició" "reedició"
"re-editada" "reeditada"
"re-editades" "reeditades"
"re-editar" "reeditar"
"re-editat" "reeditat"
"re-editats" "reeditats"
reempendre reprendre
reemplaços reemplaçaments
reemplaç reemplaçament
Reemplaç Reemplaçament
reemprendre reprendre
reemprenen reprenen
reemprèn reprèn
"re-escrita" "reescrita"
"re-escrites" "reescrites"
"re-escrit" "reescrit"
"re-escrits" "reescrits"
"re-escriure" "reescriure"
reestablerta restablerta
reestablertes restablertes
reestablert restablert
reestablerts restablerts
reflexada reflectida
reflexades reflectides
reflexà reflectí
reflexaren reflectiren
reflexar reflectir
reflexat reflectit
reflexats reflectits
reflexava reflectia
reflexaven reflectien
refòs refós
refrència referència
regiduria regidoria
Regiduria Regidoria
"regions costeres" "regions costaneres"
"regions limítrofs" "regions limítrofes"
reinvicacions reinvidicacions
reinvicació reinvidicació
relativamemt relativament
relativemnt relativament
"rel·lacions" "relacions"
"rel·lació" "relació"
remplaços reemplaçaments
remplaç reemplaçament
reneixer renéixer
renèixer renéixer
repartimnet repartiment
repelent repel·lent
Repelent Repel·lent
repelents repel·lents
"resol·lucions" "resolucions"
"resol·lució" "resolució"
resó ressò
resò ressò
respón respon
Respón Respon
respòn respon
Respòn Respon
respota resposta
respotes respostes
Ressidència Residència
ressolucions resolucions
ressolució resolució
ressolució resolució
Ressolució Resolució
ressó ressò
"resta del mon" "resta del món"
"Resta del mon" "Resta del món"
retè reté
Retè Reté
retregueren retragueren
retregué retragué
retreient retraient
reunio reunió
Reunio Reunió
revel·lacions revelacions
Revel·lacions Revelacions
revel·lació revelació
Revel·lació Revelació
revel·lions rebel·lions
Revel·lions Rebel·lions
revel·lió rebel·lió
Revel·lió Rebel·lió
revès revés
"Riba-roja del Túria" "Riba-roja de Túria"
ribetades rivetades
ribetat rivetat
ribetats rivetats
rigurositat rigorositat
"riu a baix" "riu avall"
"riu abaix" "riu avall"
romangut romàs
roturacions rompudes
roturació rompuda
rwandesa ruandesa
rwandeses ruandeses
rwandesos ruandesos
rwandès ruandès
safarejos safaretjos
Safarejos Safaretjos
"s'anula" "s'anul·la"
"s'anulen" "s'anul·len"
"satèl . lit" "satèl·lit"
"satèl lit" "satèl·lit"
"satèl.lit" "satèl·lit"
"satèl•lit" "satèl·lit"
segeuixen segueixen
segeuix segueix
"segons desprès" "segons després"
"segon vegada" "segona vegada"
seguents següents
"seguretat vial" "seguretat viària"
"Seguretat Vial" "Seguretat Viària"
sel·lecció selecció
"s'els" "se'ls"
"S'els" "Se'ls"
semanalment setmanalment
semanals setmanals
"sembla esser que" "sembla que"
"Sembla esser que" "Sembla que"
"sembla ésser que" "sembla que"
"Sembla ésser que" "Sembla que"
semblamnt semblant
"sembla ser que" "sembla que"
"Sembla ser que" "Sembla que"
"semblava esser que" "semblava que"
"Semblava esser que" "Semblava que"
"semblava ésser que" "semblava que"
"Semblava ésser que" "Semblava que"
"semblava ser que" "semblava que"
"Semblava ser que" "Semblava que"
"semi-déu" "semidéu"
"semi-déus" "semidéus"
"se n'adona que" "s'adona que"
"se n'adonà que" "s'adonà que"
"se n'adonaren que" "s'adonaren que"
"se n'adonen que" "s'adonen que"
"s'encèn" "s'encén"
"s'endu" "s'enduu"
"S'endu" "S'enduu"
"se'ns dubte" "sens dubte"
"Se'ns dubte" "Sens dubte"
"s'ens" "se'ns"
"s'enten" "s'entén"
"s'entèn" "s'entén"
"S'entèn" "S'entén"
"s'en troba" "se'n troba"
"s'en troben" "se'n troben"
"se'n va adonar que" "es va adonar que"
"se'n van adonar que" "es van adonar que"
"s'en van" "se'n van"
"S'en van" "Se'n van"
sequela seqüela
sequeles seqüeles
sequel·la seqüela
Sequel·la Seqüela
seqüel·la seqüela
Seqüel·la Seqüela
seqüèl·la seqüela
sequel·les seqüeles
seqüel·les seqüeles
Seqüel·les Seqüeles
seqüèl·les seqüeles
sèquia séquia
Sèquia Séquia
sèquies séquies
Sèquies Séquies
"serie de televisió" "sèrie de televisió"
"Serie de televisió" "Sèrie de televisió"
"s'escolleixen" "s'escullen"
"s'escolleix" "s'escull"
"s'esdevinguè" "s'esdevingué"
"S'esdevinguè" "S'esdevingué"
sessiò sessió
"s'estàn" "s'estan"
"s'esta" "s'està"
"S'esta" "S'està"
"s'estenguè" "s'estengué"
"s'esten" "s'estén"
"S'esten" "S'estén"
"s'estèn" "s'estén"
"S'estèn" "S'estén"
"set cent" "set-cents"
"set-cent" "set-cents"
setcents "set-cents"
"seua época" "seua època"
"seu us" "seu ús"
"seva época" "seva època"
"seva escasa" "seva escassa"
sevamort "seva mort"
"seva tesis" "seva tesi"
sevavida "seva vida"
"seves families" "seves famílies"
sexeni sexenni
sexeni sexenni
Sexeni Sexenni
sexesnis sexennis
"s'extenen" "s'estenen"
"s'extengueren" "s'estengueren"
"s'extengué" "s'estengué"
"s'extenia" "s'estenia"
"s'extenien" "s'estenien"
"s'exten" "s'estén"
"S'exten" "S'estén"
"s'extén" "s'estén"
"S'extén" "S'estén"
"s'extèn" "s'estén"
"s'habia" "s'havia"
"s'habien" "s'havien"
"s'haguéssin" "s'haguessin"
"si be" "si bé"
"Si be" "Si bé"
simplememnt simplement
"s'incloia" "s'incloïa"
"s'incloien" "s'incloïen"
"s'inicà" "s'inicià"
"sino que també" "sinó que també"
sinò sinó
"s'instalaren" "s'instal·laren"
"s'instalà" "s'instal·là"
"si o no" "sí o no"
"sis cent" "sis-cents"
"sis-cent" "sis-cents"
siscents "sis-cents"
"sistema motriu" "sistema motor"
"Sistema motriu" "Sistema motor"
sitauada situada
sitauades situades
sitaucions situacions
sitaució situació
"situació en la que" "situació en què"
"situació en que" "situació en què"
"situacions en les que" "situacions en què"
"situacions en que" "situacions en què"
sobrecreixer sobrecréixer
sobrecrèixer sobrecréixer
sobreeixen sobreïxen
sobreeix sobreïx
sobreentèn sobreentén
Sobreentèn Sobreentén
sobreneixer sobrenéixer
sobrenèixer sobrenéixer
sofocaren sufocaren
sofocà sufocà
"soldats de reemplaç" "soldats de lleva"
"sometent-la" "sotmetent-la"
"sometent-les" "sotmetent-les"
"sometent-lo" "sotmetent-lo"
"sometent-los" "sotmetent-los"
"sortir a la venta" "sortir a la venda"
"sospita de que" "sospita que"
"sospites de que" "sospites que"
sostè sosté
Sostè Sosté
sotmessos sotmesos
"sots campiona" "subcampiona"
"sots-campiona" "subcampiona"
"sotscampiona" "subcampiona"
"Sots campiona" "Subcampiona"
"Sots-campiona" "Subcampiona"
"Sotscampiona" "Subcampiona"
"sots-campionats" "subcampionats"
"sotscampionats" "subcampionats"
"Sots-campionats" "Subcampionats"
"Sotscampionats" "Subcampionats"
"sots-campionat" "subcampionat"
"sotscampionat" "subcampionat"
"Sots-campionat" "Subcampionat"
"Sotscampionat" "Subcampionat"
"sots campiones" "subcampiones"
"sots-campiones" "subcampiones"
"sotscampiones" "subcampiones"
"Sots campiones" "Subcampiones"
"Sots-campiones" "Subcampiones"
"Sotscampiones" "Subcampiones"
"sots campions" "subcampions"
"sots-campions" "subcampions"
"sotscampions" "subcampions"
"Sots campions" "Subcampions"
"Sots-campions" "Subcampions"
"Sotscampions" "Subcampions"
"sots campió" "subcampió"
"sots-campió" "subcampió"
"sotscampió" "subcampió"
"sots-Campió" "subcampió"
"Sots campió" "Subcampió"
"Sots-campió" "Subcampió"
"Sotscampió" "Subcampió"
"Sots-Campió" "Subcampió"
"sots-tinent" "sotstinent"
"Sots-tinent" "Sotstinent"
"Sots-Tinent" "Sotstinent"
sseua seua
sseva seva
#"status quo" "statu quo"
subastats subhastats
subastat subhastat
subastes subhastes
"subministres" "subministraments"
submissa submisa
submisses submises
subsituir substituir
succeia succeïa
Succeia Succeïa
succeien succeïen
Succeien Succeïen
succesivament successivament
succesòria successòria
succesòries successòries
succesoris successoris
succesori successori
suceeixen succeeixen
sucessions successions
Sucessions Successions
sucessió successió
Sucessió Successió
sucessora successora
sucessores successores
sucessors successors
sucessor successor
Sudàfrica Sud-àfrica
Sud-Àfrica Sud-àfrica
sudamericans sud-americans
Sudamericans Sud-americans
Sudamèrica Sud-amèrica
Sud-Amèrica Sud-amèrica
sudamericà sud-americà
Sudamericà Sud-americà
sudest sud-est
sudoest sud-oest
sugerència suggerència
sugerències suggerències
suicidaren suïcidaren
"suicidar-se" "suïcidar-se"
suicidà suïcidà
suicidis suïcidis
suicidi suïcidi
#Suicidi Suïcidi
suissos suïssos
suïs suís
Suïs Suís
sumisió submissió
sumissió submissió
Sumissió Submissió
superfíce superfície
Superfíce Superfície
"super poders" "superpoders"
"super-poders" "superpoders"
suposadamnt suposadament
"sur-est" "sud-est"
surgeixen sorgeixen
surgeix sorgeix
surgides sorgides
surgiren sorgiren
surgí sorgí
surgit sorgit
surgits sorgits
"sur-oest" "sud-oest"
sustrats substrats
sustrat substrat
taambé també
Taambé També
"tal i com" "tal com"
"Tal i com" "Tal com"
tambés també
Tambés També
tambè també
Tambè També
tambié també
Tambié També
tamé també
Tamé També
tammateix tanmateix
Tammateix Tanmateix
tanbé també
Tanbé També
"tan o més" "tant o més"
tansols "tan sols"
"tans sols" "tan sols"
"Tans sols" "Tan sols"
"tant sols" "tan sols"
tantsols "tan sols"
"Tant sols" "Tan sols"
tècnicamnet tècnicament
televisiò televisió
Televisiò Televisió
televissius televisius
"temperatura mitja" "temperatura mitjana"
temporalemnt temporalment
"temps en que" "temps en què"
"tendir ponts" "bastir ponts"
tenr tenir
terraquis terraqüis
terraqui terraqüi
testamnt testament
tindràn tindran
tinguent tenint
Tinguent Tenint
tinguéssin tinguessin
tinguès tingués
tinguè tingué
Tinguè Tingué
Tinguè Tingué
títuls títols
Títuls Títols
títul títol
Títul Títol
tmabé també
Tmabé També
tmbé també
Tmbé També
tmbñe també
Tmbñe També
tmbñé també
Tmbñé També
totalemnt totalment
"total o parcialment" "totalment o parcialment"
"Tot i axò" "Tot i això"
"tot i què" "tot i que"
"Tot i què" "Tot i que"
Tradicionalmnt Tradicionalment
traducciò traducció
Traducciò Traducció
traicions traïcions
Traicions Traïcions
traició traïció
Traició Traïció
traieren tragueren
traié tragué
tranquilament tranquil·lament
tranquiles tranquil·les
tranquilitat tranquil·litat
transcorrer transcórrer
transcòrrer transcórrer
transfons rerefons
Transfons Rerefons
transformacio transformació
transfòs transfós
trascèndencia transcendència
trascendentals transcendentals
traslacions translacions
traslació translació
Traslació Translació
travès través
tregueren tragueren
treguessin traguessin
tregués tragués
tregué tragué
treient traient
trescents "tres-cents"
"tres cent" "tres-cents"
"tres-cent" "tres-cents"
trienis triennis
trieni trienni
Trieni Trienni
tripulacio tripulació
trobaràn trobaran
trobren troben
trovaba trobava
trovaben trobaven
"tumor cancerigen" "tumor cancerós"
"tumors cancerígens" "tumors cancerosos"
"tutel·la" tutela
Txequia Txèquia
ubicus ubics
ubicu ubic
Ucrània Ucraïna
Ucranïa Ucraïna
"una altre banda" "una altra banda"
"una ambient" "un ambient"
"una arbre" "un arbre"
"una arc" "un arc"
"una espécie" "una espècie"
"una forma o altre" "una forma o altra"
"un allau" "una allau"
"un alt en el camí" "un alto en el camí"
"un altra banda" "una altra banda"
"un altre banda" "una altra banda"
"una manera o altre" "una manera o altra"
unànims unànimes
unànim unànime
"una país" "un país"
"un àrea" "una àrea"
"un arma" "una arma"
"una superfícies" "una superfície"
"un casos" "uns casos"
"un ciutat" "una ciutat"
"un complexe" "un complex"
"un densitat" "una densitat"
"un empresa" "una empresa"
"un època" "una època"
"un espècie" "una espècie"
"un espècie" "una espècie"
"Un espècie" "Una espècie"
unisò uníson
Unisò Uníson
"universitat de Columbia" "Universitat de Colúmbia"
"Universitat de Columbia" "Universitat de Colúmbia"
"universitat de Colúmbia" "Universitat de Colúmbia"
"Universitat Colúmbia" "Universitat de Colúmbia"
"Universitat Columbia" "Universitat de Colúmbia"
"universitat Colúmbia" "Universitat de Colúmbia"
"universitat Columbia" "Universitat de Colúmbia"
"universitat de Harvard" "Universitat Harvard"
"Universitat de Harvard" "Universitat Harvard"
"universitat de Yale" "Universitat Yale"
"Universitat de Yale" "Universitat Yale"
"Universitat d'Harvard" "Universitat Harvard"
"un kilometre" "un quilòmetre"
"un lider" "un líder"
"un més després" "un mes després"
"Un més després" "Un mes després"
"un organització" "una organització"
"un procès" "un procés"
"un progrès" "un progrés"
"un regió" "una regió"
"uns superfície" "una superfície"
"un superfície" "una superfície"
"un zona" "una zona"
uqe que
usualmnt usualment
"va aconseguit" "va aconseguir"
"va anular" "va anul·lar"
"va avistar" "va albirar"
"va cambiar" "va canviar"
"va colaborar" "va col·laborar"
"Va colaborar" "Va col·laborar"
"va colocar" "va col·locar"
"va confesar" "va confessar"
"va confundar" "va cofundar"
"va conmemorar" "va commemorar"
"va conseguir" "va aconseguir"
"Va conseguir" "Va aconseguir"
"va descubrir" "va descobrir"
"va disuadir" "va dissuadir"
"va evaluar" "va avaluar"
"va exilar" "va exiliar"
"va fracasar" "va fracassar"
vagada vegada
vagades vegades
"va haber" "va haver"
"va incautar" "va confiscar"
"va insertar" "va inserir"
"va instalar" "va instal·lar"
"va juntar" "va ajuntar"
"van aconseguit" "van aconseguir"
"van avistar" "van albirar"
"van cambiar" "van canviar"
"van colaborar" "van col·laborar"
"Van colaborar" "Van col·laborar"
"van colocar" "van col·locar"
"van conmemorar" "van commemorar"
"van conseguir" "van aconseguir"
"Van conseguir" "Van aconseguir"
"van descubrir" "van descobrir"
"van disuadir" "van dissuadir"
"van evaluar" "van avaluar"
"van exilar" "van exiliar"
"van fracasar" "van fracassar"
"van haber" "van haver"
"van incautar" "van confiscar"
"van instalar" "van instal·lar"
"van juntar" "van ajuntar"
"van otorgar" "van atorgar"
"van pasar" "van passar"
"van realizar" "van realitzar"
"Van realizar" "Van realitzar"
"van reanudar" "van reprendre"
"van recorrer" "van recórrer"
"van ser trasllades" "van ser traslladades"
"van ser trasllats" "van ser traslladats"
vanser "van ser"
"van solicitar" "van sol·licitar"
"van suicidar" "van suïcidar"
"va otorgar" "va atorgar"
"va pasar" "va passar"
vapassar "va passar"
"va realizar" "va realitzar"
"Va realizar" "Va realitzar"
"va reanudar" "va reprendre"
"va recorrer" "va recórrer"
"varen instalar" "varen instal·lar"
vasalls vassalls
Vasalls Vassalls
vasall vassall
Vasall Vassall
"va ser nombrada" "va ser nomenada"
"va ser nombrat" "va ser nomenat"
"va ser trasllada" "va ser traslladada"
"va ser trasllat" "va ser traslladat"
vaser "va ser"
Vaser "Va ser"
"va sofocar" "va sufocar"
"va solicitar" "va sol·licitar"
"va subastar" "va subhastar"
"va suicidar" "va suïcidar"
Vegéu Vegeu
vegueu vegeu
Vegueu Vegeu
"Veieu també" "Vegeu també"
veines veïnes
vejau vegeu
Vejau Vegeu
"vel·leitats" "vel·leïtats"
vençedors vencedors
vençedor vencedor
"Veure també" "Vegeu també"
"Veure També" "Vegeu també"
"vice-degà" vicedegà
"vice-presidència" "vicepresidència"
"vice-president" vicepresident
"vida mitja" "vida mitjana"
"vides mitges" "vides mitjanes"
Vinarós Vinaròs
vinguès vingués
vinguè vingué
Vinguè Vingué
"vint-cinc" "vint-i-cinc"
"vint-dos" "vint-i-dos"
"vint-huit" "vint-i-huit"
"vint-i-cint" "vint-i-cinc"
"vint-nou" "vint-i-nou"
"vint-quatre" "vint-i-quatre"
"vint-set" "vint-i-set"
"vint-sis" "vint-i-sis"
"vint-tres" "vint-i-tres"
"vint-vuit" "vint-i-vuit"
visquè visqué
Visquè Visqué
volguer voler
"Volum nº. " "Volum núm. "
vuitcents "vuit-cents"
"vuit cent" "vuit-cents"
"vuit-cent" "vuit-cents"
xàrxa xarxa
xàrxes xarxes
ximpanzès ximpanzés
Ximpanzès Ximpanzés
ximpanzè ximpanzé
Ximpanzè Ximpanzé
zènits zenits
zènit zenit
"zona limítrof" "zona limítrofa"
"zones costeres" "zones costaneres"
"zones limítrofs" "zones limítrofes"
